,date,location,count
9,2022-03-13,Kyivska,1.0
10,2022-03-14,Kyivska,2.0
11,2022-03-15,Kyivska,4.0
12,2022-03-17,Kyivska,4.0
13,2022-03-18,Kyivska,1.0
14,2022-03-19,Kyivska,7.0
15,2022-03-20,Kyivska,8.0
16,2022-03-29,Kyivska,1.0
17,2022-04-05,Kyivska,19.0
18,2022-04-11,Kyivska,7.0
19,2022-04-20,Kyivska,41.0
0,2022-02-24,Luhanska,2.0
1,2022-02-25,Luhanska,1.0
2,2022-02-28,Luhanska,1.0
3,2022-03-03,Luhanska,1.0
4,2022-03-10,Luhanska,2.0
5,2022-03-11,Luhanska,56.0
6,2022-03-12,Luhanska,1.0
7,2022-03-17,Luhanska,2.0
8,2022-03-19,Luhanska,3.0
9,2022-03-21,Luhanska,2.0
10,2022-03-23,Luhanska,4.0
11,2022-03-24,Luhanska,5.0
12,2022-03-25,Luhanska,3.0
13,2022-03-28,Luhanska,3.0
14,2022-03-30,Luhanska,2.0
15,2022-03-31,Luhanska,2.0
16,2022-04-05,Luhanska,1.0
17,2022-04-06,Luhanska,1.0
18,2022-04-07,Luhanska,1.0
19,2022-04-08,Luhanska,1.0
20,2022-04-11,Luhanska,2.0
21,2022-04-12,Luhanska,1.0
22,2022-04-13,Luhanska,1.0
23,2022-04-14,Luhanska,3.0
24,2022-04-16,Luhanska,1.0
25,2022-04-18,Luhanska,4.0
26,2022-04-21,Luhanska,2.0
27,2022-04-22,Luhanska,2.0
28,2022-04-23,Luhanska,6.0
29,2022-04-25,Luhanska,1.0
30,2022-04-26,Luhanska,4.0
31,2022-04-27,Luhanska,4.0
0,2022-04-18,Lvivska,7.0
0,2022-03-07,Mykolaivska,5.0
1,2022-03-13,Mykolaivska,7.0
2,2022-03-14,Mykolaivska,1.0
3,2022-03-19,Mykolaivska,4.0
4,2022-03-21,Mykolaivska,3.0
5,2022-03-22,Mykolaivska,2.0
6,2022-03-29,Mykolaivska,36.0
7,2022-04-03,Mykolaivska,1.0
8,2022-04-04,Mykolaivska,11.0
9,2022-04-15,Mykolaivska,5.0
10,2022-04-20,Mykolaivska,1.0
11,2022-04-25,Mykolaivska,1.0
0,2022-03-01,Odeska,1.0
1,2022-03-03,Odeska,1.0
2,2022-04-23,Odeska,6.0
3,2022-05-02,Odeska,1.0
0,2022-04-25,Poltavska,1.0
0,2022-02-24,Sumska,1.0
1,2022-02-25,Sumska,7.0
2,2022-02-26,Sumska,2.0
3,2022-02-27,Sumska,19.0
4,2022-02-28,Sumska,2.0
5,2022-03-03,Sumska,18.0
6,2022-03-05,Sumska,1.0
7,2022-03-07,Sumska,23.0
8,2022-03-08,Sumska,1.0
9,2022-03-09,Sumska,7.0
10,2022-03-11,Sumska,2.0
11,2022-03-13,Sumska,2.0
12,2022-03-24,Sumska,3.0
13,2022-03-27,Sumska,1.0
14,2022-03-31,Sumska,1.0
