date,location,count
2022-04-03,Mykolaivska,14.0
2022-04-04,Mykolaivska,61.0
2022-04-11,Mykolaivska,1.0
2022-04-15,Mykolaivska,5.0
2022-04-20,Mykolaivska,2.0
2022-03-01,Odeska,2.0
2022-03-03,Odeska,1.0
2022-04-23,Odeska,18.0
2022-04-24,Odeska,1.0
2022-04-25,Poltavska,7.0
2022-02-25,Sumska,55.0
2022-02-26,Sumska,6.0
2022-03-03,Sumska,1.0
2022-03-05,Sumska,2.0
2022-03-07,Sumska,19.0
2022-03-08,Sumska,15.0
2022-03-09,Sumska,6.0
2022-03-21,Sumska,1.0
2022-03-22,Sumska,1.0
2022-03-24,Sumska,5.0
2022-03-27,Sumska,6.0
2022-04-01,Sumska,3.0
2022-04-07,Sumska,4.0
2022-04-08,Sumska,1.0
2022-04-16,Sumska,1.0
2022-02-24,Kharkivska,2.0
2022-02-26,Kharkivska,2.0
2022-02-28,Kharkivska,44.0
2022-03-01,Kharkivska,30.0
2022-03-02,Kharkivska,28.0
2022-03-03,Kharkivska,7.0
2022-03-08,Kharkivska,1.0
2022-03-10,Kharkivska,1.0
2022-03-12,Kharkivska,1.0
2022-03-14,Kharkivska,3.0
2022-03-15,Kharkivska,23.0
2022-03-16,Kharkivska,14.0
2022-03-18,Kharkivska,11.0
2022-03-22,Kharkivska,8.0
2022-03-23,Kharkivska,1.0
2022-03-24,Kharkivska,15.0
2022-03-27,Kharkivska,1.0
2022-03-28,Kharkivska,1.0
2022-03-29,Kharkivska,2.0
2022-03-31,Kharkivska,3.0
2022-04-02,Kharkivska,5.0
2022-04-03,Kharkivska,46.0
2022-04-04,Kharkivska,8.0
2022-04-05,Kharkivska,1.0
2022-04-07,Kharkivska,14.0
2022-04-08,Kharkivska,15.0
2022-04-10,Kharkivska,11.0
2022-04-11,Kharkivska,19.0
2022-04-13,Kharkivska,22.0
2022-04-14,Kharkivska,8.0
2022-04-15,Kharkivska,34.0
2022-04-16,Kharkivska,22.0
2022-04-17,Kharkivska,31.0
2022-04-18,Kharkivska,15.0
2022-04-19,Kharkivska,21.0
2022-04-20,Kharkivska,5.0
2022-04-21,Kharkivska,2.0
2022-04-22,Kharkivska,19.0
2022-04-23,Kharkivska,7.0
